SKU ID,VendorProduct_ID,UnitMeasurementBuy,LotSizeBuy,Current_Buy,UnitMeasurementSell,LotSizeSell,Current_Sell,Specs_JSON,Threshold
30,9,12,30,300,12,1,,"{""spec1"": ""1.5\"""", ""spec2"": ""58 to 62 mm"", ""spec3"": ""12mm x 45 mm""}",37
31,9,12,25,230,12,1,,"{""spec1"": ""2\"""", ""spec2"": ""70 to 74 mm"", ""spec3"": ""12mm x 45 mm""}",24
32,9,12,20,255,12,1,,"{""spec1"": ""2.5\"""", ""spec2"": ""80 to 84 mm"", ""spec3"": ""12mm x 45 mm""}",42
33,9,12,15,275,12,1,,"{""spec1"": ""3\"""", ""spec2"": ""90 to 94 mm"", ""spec3"": ""12mm x 45 mm""}",29
34,9,12,15,290,12,1,,"{""spec1"": ""3.25\"""", ""spec2"": ""95 to 97 mm"", ""spec3"": ""12mm x 45 mm""}",48
35,9,12,12,305,12,1,,"{""spec1"": ""4\"""", ""spec2"": ""110 to 115 mm"", ""spec3"": ""12mm x 45 mm""}",21
36,10,12,25,270,12,1,,"{""spec1"": ""1.5\"""", ""spec2"": ""58 to 62 mm"", ""spec3"": ""12mm x 45 mm""}",33
37,10,12,20,305,12,1,,"{""spec1"": ""2\"""", ""spec2"": ""70 to 74 mm"", ""spec3"": ""12mm x 45 mm""}",45
38,10,12,15,325,12,1,,"{""spec1"": ""2.5\"""", ""spec2"": ""80 to 84 mm"", ""spec3"": ""12mm x 45 mm""}",26
39,10,12,15,345,12,1,,"{""spec1"": ""3\"""", ""spec2"": ""90 to 94 mm"", ""spec3"": ""12mm x 45 mm""}",39
40,10,12,15,360,12,1,,"{""spec1"": ""3.25\"""", ""spec2"": ""95 to 97 mm"", ""spec3"": ""12mm x 45 mm""}",22
41,10,12,10,380,12,1,,"{""spec1"": ""4\"""", ""spec2"": ""110 to 115 mm"", ""spec3"": ""12mm x 45 mm""}",50
42,11,1,5,65,1,1,,"{""spec1"": ""3x1-3x1.25-3x1.5"", ""spec2"": ""Apx.wt. 0.800""}",22
43,11,1,5,107,1,1,,"{""spec1"": ""4x1-4x1.25-4x1.5-4x2-4x2.5"", ""spec2"": ""Apx.wt. 0.900""}",45
44,11,1,5,127,1,1,,"{""spec1"": ""5x1-5x1.25-5x1.5-5x2-5x2.5"", ""spec2"": ""Apx.wt. 1.200""}",31
45,11,1,5,143,1,1,,"{""spec1"": ""6x1-6x1.25-6x1.5-6x2-6x2.5-6x3"", ""spec2"": ""Apx.wt. 1.400""}",28
46,11,1,5,169,1,1,,"{""spec1"": ""7x1-7x1.25-7x1.5-7x2-7x2.5-7x3"", ""spec2"": ""Apx.wt. 1.700""}",39
47,1,1,150,30,1,1,,"{""spec1"" :  ""0.5\"" x 6\""""}",91
48,1,1,150,42,1,1,,"{""spec1"" :  ""0.75\"" x 6\""""}",86
49,1,1,150,43,1,1,,"{""spec1"" :  ""1\"" x 7\""""}",75
50,1,1,150,56,1,1,,"{""spec1"" :  ""1.25\"" x 7\""""}",112
51,1,1,150,66,1,1,,"{""spec1"" :  ""1.5\"" x 7\""""}",25
52,2,1,150,44,1,1,,"{""spec1"" :  ""1\"" x 0.75\"" x 7\""""}",91
53,2,1,150,58,1,1,,"{""spec1"" :  ""1.25\"" x 1\"" x 7\""""}",86
54,2,1,150,69,1,1,,"{""spec1"" :  ""1.5\"" x 1.25\"" x 7\""""}",75
55,2,1,150,100,1,1,,"{""spec1"" :  ""2\"" x 1.75\"" x 8\""""}",112
56,2,1,150,133,1,1,,"{""spec1"" :  ""2\"" x 1.75\"" x 11\""""}",25
57,3,1,150,46,1,1,,"{""spec1"" :  ""1\"" x 0.75\"" x 0.75\"" x 7\""""}",112
58,3,1,150,59,1,1,,"{""spec1"" :  ""1.25\"" x 1\"" x 1\"" x 7\""""}",25
59,3,1,150,71,1,1,,"{""spec1"" :  ""1.5\"" x 1.25\"" x 1.25\"" x 7\""""}",91
60,3,1,150,104,1,1,,"{""spec1"" :  ""2\"" x 1.75\"" x 1.75\"" x 8\""""}",86
61,3,1,150,146,1,1,,"{""spec1"" :  ""2.5\"" x 2.25\"" x 2.25\"" x 8\""""}",75
62,4,1,150,63,1,1,,"{""spec1"" :  ""1.25\"" x 1\"" x 7\""""}",112
63,4,1,150,74,1,1,,"{""spec1"" :  ""1.5\"" x 1.25\"" x 7\""""}",25
64,4,1,150,105,1,1,,"{""spec1"" :  ""2\"" x 1.5\"" x 8\""""}",86
65,4,1,150,145,1,1,,"{""spec1"" :  ""2.5\"" x 2\"" x 8\""""}",75
66,4,1,150,216,1,1,,"{""spec1"" :  ""3\"" x 2.5\"" x 8\""""}",112
67,5,1,150,23,1,1,,"{""spec1"" :  ""0.5\"" x 6\""""}",25
68,5,1,150,26,1,1,,"{""spec1"" :  ""0.75\"" x 6\""""}",75
69,5,1,150,37,1,1,,"{""spec1"" :  ""1\"" x 7\""""}",112
70,5,1,150,42,1,1,,"{""spec1"" :  ""1.25\"" x 7\""""}",25
71,5,1,150,48,1,1,,"{""spec1"" :  ""1.5\"" x 7\""""}",86
72,6,1,150,38,1,1,,"{""spec1"" :  ""1\"" x 0.75\"" x 7\""""}",75
73,6,1,150,42,1,1,,"{""spec1"" :  ""1.25\"" x 1\"" x 7\""""}",112
74,6,1,150,51,1,1,,"{""spec1"" :  ""1.5\"" x 1.25\"" x 7\""""}",25
75,6,1,150,81,1,1,,"{""spec1"" :  ""2\"" x 1.75\"" x 8\""""}",75
76,6,1,150,109,1,1,,"{""spec1"" :  ""2\"" x 1.75\"" x 11\""""}",112
77,17,1,1,1026,1,1,,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""50MM"" ,""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",112
78,17,1,1,1165,1,1,,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""65MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED"" }",25
79,17,1,1,1294,1,1,,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""80MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",75
80,17,1,1,1127,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""50MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",25
81,17,1,1,1286,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""65MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",86
82,17,1,1,1566,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""80MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",75
83,17,1,1,1159,1,1,,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""50MM"", ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",25
84,17,1,1,1321,1,1,,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""65MM"" , ""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",112
85,17,1,1,1614,1,1,,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""80MM"",""spec3"":""CAST IRON"",""spec4"":""LEVER OPERATED""}",25
86,17,1,1,4055,1,1,,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""100MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",112
87,17,1,1,4223,1,1,,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""125MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",25
88,17,1,1,4876,1,1,,"{ ""spec1"" : ""SGIN DISC"" , ""spec2"" : ""150MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",75
89,17,1,1,4476,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""100MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",25
90,17,1,1,4858,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""125MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",86
91,17,1,1,5835,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""150MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",75
92,17,1,1,4596,1,1,,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""100MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",25
93,17,1,1,5038,1,1,,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""125MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",112
94,17,1,1,6111,1,1,,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""150MM"" , ""spec3"":""CAST IRON"",""spec4"":""GEAR OPERATED""}",25
95,17,1,1,1462,1,1,,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""50MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",25
96,17,1,1,1804,1,1,,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""65MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",86
97,17,1,1,2242,1,1,,"{ ""spec1"" : ""C.S. DISC"" , ""spec2"" : ""80MM"" ,  ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",75
98,17,1,1,1510,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""50MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",25
99,17,1,1,1877,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""65MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",112
100,17,1,1,2349,1,1,,"{ ""spec1"" : ""S.S. 304 DISC"" , ""spec2"" : ""80MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""}",25
101,17,1,1,1546,1,1,,"{ ""spec1"" : ""S.S. 316 DISC"" , ""spec2"" : ""50MM"" , ""spec3"":""CAST STEEL"",""spec4"":""LEVER OPERATED""} ",112
